kohde;jasen;tutkk;pkvp;pvknro;T1;tytyy;Vastaaja;sp;IKAL1;PERHEV;ELVAIHE1;TOIMINTA;ISCO3KA_2;TOLA8KA_2;SOSE;TYOAIKA;TKES;YLSIV;KASTE_2;suuralue2;kunry;TIHEYS;ASALUE;KOKO_2;ANSIOLKM_2;HDESI;V46
50180;1;6;6;1;NA;;1;2;3;3;4;2;;;NA;NA;44;1;5;A;3;0.83;2;4+;4+;2;0
50180;2;6;6;1;1;2;1;1;4;3;4;1;9;13;5;2;NA;2;NA;A;3;0.83;2;4+;4+;2;0
50181;1;12;4;1;1;2;1;1;7;3;7;1;12;13;5;2;NA;3;3;C;3;0.40;3;2;1;6;0
50181;2;12;4;1;NA;;1;2;5;3;4;4;;;NA;NA;NA;1;3;C;3;0.40;3;2;1;6;0
50182;1;12;7;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;1;3;B;1;0.67;3;2;0;8;0
50183;1;7;7;1;1;3;1;2;3;3;4;1;9;8;4;2;NA;1;6;C;1;1.00;1;2;1;5;0
50184;1;8;1;1;1;3;1;2;2;3;4;1;20;1;4;2;NA;2;3;C;1;1.00;1;2;2;6;0
50184;2;8;1;1;1;3;2;1;3;3;4;1;21;10;5;NA;NA;2;3;C;1;1.00;1;2;2;6;0
50185;1;8;6;1;NA;;1;2;8;2;8;5;;;NA;NA;NA;3;3;E;1;1.00;1;1;0;8;0
50186;1;9;1;1;1;3;1;1;6;3;7;1;12;13;3;2;NA;1;5;B;1;0.67;1;2;2;10;0
50187;1;11;6;1;1;3;1;1;6;3;7;1;21;12;4;2;NA;3;3;B;3;0.50;3;2;1;6;0
50187;2;11;6;1;NA;;1;2;6;3;7;2;;;NA;NA;8;1;3;B;3;0.50;3;2;1;6;0
50188;1;1;3;1;1;2;1;2;6;3;7;1;5;13;4;2;NA;2;5;B;2;0.67;2;4+;3;7;0
50188;2;1;3;1;1;1;1;1;6;3;7;1;15;8;4;2;NA;1;3;B;2;0.67;2;4+;3;7;0
50188;3;1;3;1;1;3;1;2;2;1;1;1;21;10;4;1;NA;2;NA;B;2;0.67;2;4+;3;7;670
50189;1;1;3;1;NA;;1;2;4;4;5;6;;;NA;NA;NA;2;5;E;2;tammi.67;2;4+;1;1;0
50190;1;3;4;1;NA;;1;2;8;2;8;5;;;NA;NA;NA;1;5;A;2;0.50;2;1;0;6;0
50191;1;12;7;1;1;3;1;2;7;3;7;1;12;13;4;2;NA;3;3;C;1;0.67;1;2;1;7;0
50192;1;4;1;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;NA;C;3;0.50;3;2;0;5;0
50192;2;4;1;1;NA;;1;2;7;3;7;5;;;NA;NA;NA;2;3;C;3;0.50;3;2;0;5;0
50193;1;5;3;1;NA;;1;2;9;2;8;5;;;NA;NA;NA;3;NA;B;1;0.20;1;1;0;2;0
50194;1;12;7;1;NA;;1;2;5;4;6;3;;;NA;NA;NA;2;NA;B;1;1.00;3;3;0;5;70
50195;1;1;3;1;NA;;1;2;2;1;1;3;;;NA;NA;NA;2;NA;B;1;0.83;1;4+;2;4;0
50195;2;1;3;1;1;3;1;2;5;4;5;1;12;6;4;2;NA;2;5;B;1;0.83;1;4+;2;4;0
50195;3;1;3;1;1;3;1;1;4;4;5;1;12;14;3;2;NA;2;5;B;1;0.83;1;4+;2;4;0
50195;4;1;3;1;NA;;1;2;1;1;1;3;;;NA;NA;NA;3;NA;B;1;0.83;1;4+;2;4;0
50196;1;8;1;1;NA;;1;2;8;2;8;5;;;NA;NA;NA;3;NA;C;1;0.33;1;1;0;5;0
50197;1;5;7;1;1;1;1;1;5;3;4;1;5;12;3;2;NA;1;78;E;1;1.00;1;2;2;10;0
50197;2;5;7;1;1;1;1;2;4;3;4;1;1;7;3;2;NA;1;78;E;1;1.00;1;2;2;10;0
50198;1;2;7;1;1;2;1;1;5;4;5;1;1;7;3;2;NA;1;78;A;1;1.00;1;4+;1;5;0
50198;2;2;7;1;1;2;1;2;5;4;5;3;9;11;NA;2;NA;1;6;A;1;1.00;1;4+;1;5;0
50199;1;6;1;1;1;2;1;2;6;3;7;1;11;13;6;2;NA;2;5;A;1;0.67;1;2;1;10;0
50200;1;10;2;1;1;1;1;2;6;3;7;1;10;5;3;2;NA;1;78;A;1;0.60;1;3;2;10;0
50200;2;10;2;1;1;3;1;1;7;3;7;1;6;14;3;2;NA;1;78;A;1;0.60;1;3;2;10;0
50200;3;10;2;1;NA;;1;2;3;1;1;2;;;NA;NA;7;2;3;A;1;0.60;1;3;2;10;0
50201;1;5;1;1;NA;;1;2;4;4;5;6;;;NA;NA;NA;1;6;B;1;1.00;1;3;1;7;0
50201;2;5;1;1;1;2;1;1;4;4;5;1;1;8;3;2;NA;1;3;B;1;1.00;1;3;1;7;0
50202;1;3;6;1;1;3;1;2;5;2;2;1;13;4;5;2;NA;2;3;B;3;0.50;2;1;1;7;0
50203;1;3;7;1;2;3;1;1;5;1;1;1;23;11;1;2;NA;2;3;B;1;0.80;3;4+;3;7;0
50203;2;3;7;1;7;3;1;1;7;3;7;1;14;1;6;NA;NA;3;NA;B;1;0.80;3;4+;3;7;0
50203;3;3;7;1;1;3;1;1;4;1;1;1;16;4;5;2;NA;2;3;B;1;0.80;3;4+;3;7;0
50204;1;6;7;1;1;3;1;1;6;4;6;1;8;10;3;2;NA;1;78;D;1;0.71;1;4+;3;5;0
50204;2;6;7;1;1;2;1;2;6;4;6;1;2;12;4;1;NA;2;3;D;1;0.71;1;4+;3;5;0
50204;3;6;7;1;1;3;1;1;2;1;1;1;14;9;4;2;NA;2;NA;D;1;0.71;1;4+;3;5;0
50205;1;1;7;1;1;2;1;2;5;4;5;1;15;3;3;1;NA;1;78;E;1;1.00;1;4+;1;6;0
50206;1;8;7;1;1;3;1;1;5;4;6;1;16;2;5;2;NA;2;3;E;1;0.60;1;3;1;1;0
50206;2;8;7;1;NA;;1;2;5;4;6;3;;;NA;NA;NA;2;3;E;1;0.60;1;3;1;1;0
50206;3;8;7;1;NA;;2;2;2;1;1;3;;;NA;NA;NA;2;NA;E;1;0.60;1;3;1;1;0
50207;1;7;1;1;NA;;1;2;9;3;7;5;;;NA;NA;NA;3;NA;A;2;0.67;2;2;0;4;0
50207;2;7;1;1;NA;;1;1;9;3;7;5;;;NA;NA;NA;3;3;A;2;0.67;2;2;0;4;0
50208;1;5;7;1;NA;;1;1;5;2;2;2;;;NA;NA;33;2;3;C;1;0.50;1;1;0;4;0
50209;1;8;3;1;4;3;1;1;8;3;7;1;10;3;2;1;NA;1;78;C;1;0.50;1;2;1;9;0
50209;2;8;3;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;2;5;C;1;0.50;1;2;1;9;0
50210;1;6;2;1;1;3;1;1;4;2;2;1;20;1;3;2;NA;1;3;C;1;0.33;1;1;1;6;0
50211;1;3;7;1;1;3;1;2;4;4;5;1;6;4;4;2;NA;2;5;B;1;tammi.33;1;4+;2;4;0
50212;1;8;5;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;3;B;2;0.50;1;2;0;4;0
50212;2;8;5;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;NA;B;2;0.50;1;2;0;4;0
50213;1;8;3;1;1;3;1;2;6;4;6;1;10;8;4;2;NA;2;NA;E;1;0.75;1;3;2;8;0
